Index	Rewards	 Distance
459       14        3
460       -1        3
461       -1        3
462       -1        3
463       -2        4
464       -1        4
465       -1        2
466       -1        2
467       -1        2
468       -1        4
469       -1        4
470       -1        4
471       -1        4
472       -1        4
473       -1        2
474       -1        4
475       -1        4
476       -1        2
477       -1        2
478       -1        2
479       -1        2
480       14        2
481       -1        4
482       -1        2
483       -2        4
484       -1        2
485       -1        4
486       -1        4
487       -1        2
488       14        2
489       -1        4
490       -1        2
491       -1        2
492       -1        2
493       -1        2
494       -1        2
495       -1        2
496       -1        4
497       -1        4
498       -1        2
499       -1        2
500       -1        2
501       -1        2
502       -1        4
503       -1        6
504       -1        4
505       -1        4
506       -1        4
507       -1        2
508       -1        4
509       -1        2
510       -1        2
511       -1        2
512       -1        2
513       -1        4
514       -1        4
515       -1        4
516       -2        2
517       -1        2
518       -1        2
519       -1        2
520       -1        2
521       -1        4
522       -1        4
523       -1        4
524       -1        2
525       -1        2
526       -1        2
527       -1        4
528       -1        4
529       -1        4
530       -1        2
531       -1        4
532       -1        2
533       -1        2
534       -1        2
535       -1        4
536       -1        4
537       -1        4
538       -1        4
539       -1        2
540       -1        2
541       -1        2
542       14        4
543       -1        4
544       -1        4
545       -1        4
546       -2        4
547       -2        4
548       -1        2
549       -1        2
550       14        4
551       -1        4
552       -1        4
553       -1        4
554       -1        4
555       14        2
556       -1        2
557       -1        4
558       -1        2
559       -1        2
560       -1        4
561       -1        2
562       -1        2
563       -1        2
564       -1        2
565       -1        2
566       -1        2
567       -1        2
568       -1        2
569       -1        4
570       -1        2
571       -1        2
572       -1        4
573       -1        6
574       -1        4
575       -1        4
576       -1        2
577       -1        4
578       -1        4
579       -1        4
580       -2        4
581       -1        4
582       -1        2
583       -1        2
584       -1        2
585       -1        4
586       -1        4
587       -1        4
588       -2        4
589       -1        4
590       -1        4
591       -1        4
592       -1        4
593       -2        4
594       -1        4
595       -1        4
596       -1        4
597       -1        4
598       -1        4
599       -1        4
600       -2        4
601       -1        2
602       14        4
603       -1        6
604       -1        4
605       -1        4
606       -2        2
607       -1        2
608       -1        2
609       -1        2
610       -1        4
611       -1        2
612       -1        2
613       -1        2
614       14        5
615       -1        5
616       -1        5
617       -1        4
618       -1        2
619       -1        4
620       -2        2
621       -1        4
622       -1        3
623       14        1
624       -1        1
625       -1        1
626       -1        3
627       -1        1
628       -1        2
629       -1        2
630       -1        4
631       -1        4
632       -1        2
633       -1        4
634       -1        2
635       -1        2
636       -1        2
637       -1        1
638       -1        1
639       -2        1
640       -1        3
641       -1        1
642       -1        1
643       -2        1
644       -1        3
645       -1        1
646       -1        3
647       -1        3
648       -1        1
649       -1        3
650       -1        1
651       -1        3
652       -1        3
653       -1        3
654       -1        3
655       -1        5
656       -2        5
657       -1        3
658       -1        1
659       -1        1
660       -1        1
661       -1        3
662       -1        3
663       -2        3
664       -1        3
665       -1        1
666       -1        2
667       -1        4
668       -1        4
669       -1        5
670       -1        3
671       -1        3
672       -1        3
673       -1        5
674       -1        5
675       -1        3
676       -1        5
677       -1        5
678       -1        5
679       -1        3
680       -1        2
681       -1        2
682       -1        4
683       -2        2
684       -1        2
685       -1        2
686       -1        2
687       -1        4
688       -1        2
689       -1        2
690       -1        2
691       -1        2
692       -2        4
693       -1        4
694       -1        4
695       -2        4
696       -1        2
697       -1        4
698       -1        4
699       -1        4
700       -1        4
701       -1        2
702       -1        4
703       -1        2
704       -1        2
705       -1        1
706       -1        1
707       -1        3
708       -1        3
709       -1        5
710       -1        5
711       -2        3
712       -1        1
713       -1        2
714       -1        4
715       -1        6
716       -2        4
717       -1        4
718       -1        2
719       -1        2
720       -1        1
721       -1        3
722       -1        3
723       -1        5
724       -2        3
725       -1        5
726       -1        5
727       -1        3
728       -2        2
729       -1        4
730       -1        5
731       -1        4
732       -1        6
733       -1        4
734       -1        2
735       -1        4
736       -1        4
737       -1        4
738       -1        2
739       -2        2
740       -1        2
741       -1        2
742       -1        2
743       -2        1
744       -1        3
745       -1        3
746       -1        5
747       -1        3
748       -1        5
749       -1        3
750       -1        1
751       -1        3
752       -1        3
753       -1        3
754       -1        4
755       -1        4
756       -1        4
757       -1        4
758       -1        4
759       -1        2
760       -1        2
761       -1        2
762       -1        2
763       -1        2
764       -1        3
765       -1        1
766       -1        3
767       -1        3
768       -2        3
769       -1        3
770       -1        3
771       -1        1
772       -1        1
773       -1        3
774       -1        3
775       -1        5
776       -2        3
777       -1        3
778       -1        3
779       -2        3
780       -1        3
781       -1        3
782       -1        3
783       -1        3
784       -1        3
785       -1        1
786       -1        1
787       -1        1
788       -2        1
789       -1        1
790       -1        1
791       -1        1
792       -1        3
793       -1        5
794       -1        3
795       -1        3
796       -1        1
797       -1        3
798       -1        3
799       -1        1
800       -2        1
801       -1        3
802       -1        5
803       -1        4
804       -1        2
805       -1        2
806       -1        4
807       -2        2
808       -1        2
809       -1        3
810       -1        3
811       -1        1
812       -2        1
813       -1        1
814       -1        3
815       -2        3
816       -1        3
817       -1        1
818       -1        1
819       -1        3
820       -1        3
821       -1        3
822       -1        3
823       -1        3
824       -2        1
825       -1        3
826       -1        1
827       -1        3
828       -2        5
829       -1        6
830       -1        4
831       -2        4
832       -1        4
833       -1        4
834       -1        2
835       -2        2
836       -1        2
837       -1        4
838       -1        4
839       -1        4
840       -1        4
841       -1        6
842       -1        4
843       -2        4
844       -1        4
845       -1        2
846       -1        2
847       -1        2
848       -1        2
849       -1        2
850       -1        3
851       -1        3
852       -1        1
853       -1        3
854       -1        3
855       -2        2
856       -1        2
857       -1        1
858       -1        1
859       -2        1
860       -1        3
861       -1        2
862       -1        2
863       -2        2
864       -1        2
865       -1        1
866       -1        3
867       -1        5
868       -1        5
869       -1        5
870       -1        3
871       -1        5
872       -1        5
873       -1        3
874       -1        3
875       -1        3
876       -1        3
877       -1        5
878       -1        3
879       -1        5
880       -2        3
881       -1        1
882       -1        3
883       -1        1
884       -2        1
885       -1        1
886       -1        3
887       -2        3
888       -1        3
889       -1        5
890       -1        5
891       -1        5
892       -1        5
893       -1        3
894       -1        3
895       -1        3
896       -1        1
897       -1        3
898       -1        3
899       -1        3
900       -1        3
901       -1        3
902       -1        4
903       -1        2
904       -2        2
905       -1        4
906       -1        2
907       -2        4
908       -1        4
909       -1        2
910       -1        2
911       -1        2
912       -2        2
913       -1        2
914       -1        2
915       -1        2
916       -1        2
917       -1        2
918       -1        4
919       -1        4
920       -1        6
921       -1        4
922       -1        4
923       -1        2
924       -1        2
925       -1        2
926       14        2
927       -2        2
928       -1        2
929       -1        2
930       -1        2
931       -1        2
932       -1        2
933       -1        2
934       -1        4
935       -2        2
936       -1        2
937       -1        2
938       -1        2
939       -1        1
940       -1        1
941       -1        1
942       -1        3
943       -1        4
944       -1        2
945       -1        2
946       -1        2
947       -1        2
948       -1        4
949       -1        4
950       -1        2
951       -1        4
952       -1        4
953       -1        2
954       -2        2
955       -1        2
956       -1        4
957       -1        4
958       -1        6
959       -2        4
960       -1        2
961       -1        2
962       -1        3
963       -2        3
964       -1        1
965       -1        3
966       -1        3
967       -2        5
968       -1        5
969       -1        3
970       -1        3
971       -1        3
972       -1        3
973       -1        4
974       -1        4
